Drug,Time,Run,Label,Area_Mean,BoundingBoxArea_Mean,Compactness_Mean,ConvexArea_Mean,Eccentricity_Mean,EquivalentDiameter_Mean,Extent_Mean,FormFactor_Mean,MajorAxisLength_Mean,MaxFeretDiameter_Mean,MaximumRadius_Mean,MeanRadius_Mean,MedianRadius_Mean,MinFeretDiameter_Mean,MinorAxisLength_Mean,Perimeter_Mean,Solidity_Mean,Area_Std,BoundingBoxArea_Std,Compactness_Std,ConvexArea_Std,Eccentricity_Std,EquivalentDiameter_Std,Extent_Std,FormFactor_Std,MajorAxisLength_Std,MaxFeretDiameter_Std,MaximumRadius_Std,MeanRadius_Std,MedianRadius_Std,MinFeretDiameter_Std,MinorAxisLength_Std,Perimeter_Std,Solidity_Std,DistanceTraveled_Max,DistanceTraveled_Mean,DistanceTraveled_Std,Speed_Max,Speed_Mean,Speed_Std,Linearity_Mean,Linearity_Std,Displacement,IntegratedDistance
ATG,24hr,1,38,26.666666666666668,41.5,0.9305758426294335,29.166666666666668,0.8027561739342006,5.816235814255067,0.6702380952380952,1.0964173406064077,8.026601748208154,6.9119977230071115,2.196723314583158,1.3090209846378897,1,3.8670827204393268,4.462195799080634,17.646025723249778,0.9295194351669893,3.6147844564602556,13.96782015920881,0.16247709963048174,7.026141662866375,0.07140588210835352,0.3864538460117178,0.11340794973785577,0.15008267789709284,2.1200530822304056,1.693855062445843,0.09637434824755087,0.06053310438199622,0,0.3807484922645385,0.2600989073583496,2.645963331207396,0.07944583066084587,8.011205427310433,2.7375792749218237,2.989898840020565,0.7808192424279174,0.26682059209764364,0.29141314230219934,0.9812403691903487,0.011297836695779342,13.28752747968307,13.687896374609116
ATG,24hr,1,41,69.2,103.63333333333334,1.1927210397288683,77.1,0.8092888645471472,9.37878033546756,0.6756791830203627,0.84961399195513565,13.046193902618352,12.323445244830253,3.4730485458606184,1.7176245578363394,1.4630290988420038,6.5396243763462305,7.138057526905833,32.165215228911784,0.8999980574218087,5.767925581805072,15.080207017085705,0.14348476331556898,8.256032277402822,0.10652890816848777,0.3895035496986604,0.06922259660684044,0.09732104190849153,1.886684074377749,1.7017325748221868,0.37774347904471495,0.08070656239618104,0.15542924331200417,0.61265325710929,0.6994950324804255,2.907422396874943,0.034802991206569135,2.6165548759301087,0.8872544354869119,0.6163647607326779,0.2550248417085876,0.08647704049580038,0.060074538083107004,0.7042081405202968,0.15623301707615916,15.13002263515532,25.730378629120445
ATG,24hr,1,42,53.766666666666666,80.36666666666666,1.0428388040074448,58.13333333333333,0.6812521143156232,8.267908121886748,0.6764270482603816,0.9685136394900358,10.136939725622712,9.732440120747446,3.4104691697458804,1.6546896249669676,1.4073100030002101,6.39271997256625,7.0285686785973285,26.50287997274216,0.9263359378017941,4.116269932951377,11.140121132670627,0.11090497301034183,5.137645598798206,0.15499142348840145,0.32089553026577,0.06511836806152047,0.09437900756849853,1.0279826196818698,0.8980492053557477,0.3248873155517019,0.07188055726016242,0.03781235195605287,0.6776590866553324,0.716889869021788,1.914299183605693,0.03348514549538481,2.5296640468421514,0.6435572511012764,0.5526724792828538,0.24655594998461516,0.0627248782749782,0.05386671338039511,0.3778739933794854,0.2522650646293297,2.955201855745227,18.66316028193701
ATG,24hr,1,43,46,81.625,1.2317187849582791,52.5,0.8859494741707503,7.615833003027519,0.5910759379509379,0.8352127197712043,11.944764414651168,10.652810389066248,2.7758288407471166,1.442998686056733,1.1812184335382292,4.754376541533997,5.114407242315242,26.65469875665449,0.8829781747721785,9.57675757833964,27.536663870971317,0.2163108784562445,12.60385428577873,0.06029148049636505,0.8057697138685503,0.09937165101972054,0.15272359133659555,2.5716440854427978,2.2405690130862954,0.2262091241724803,0.05132113238207657,0.20524928374417775,0.36853363706538583,0.33071780737490825,4.931551161778157,0.03602439297368131,1.6427681902150912,0.8780688246219465,0.5300869691341534,0.160113858695428,0.08558175678576477,0.05166539660176934,0.4239524305352154,0.2852729630450236,2.3434313535645654,6.146481772353625
ATG,24hr,1,44,82.03333333333333,122.7,1.2028603738983725,91.5,0.7492124022427826,10.20889817979084,0.6722332168722543,0.8477455521465477,13.58152410654212,12.869033304509347,3.9843532411897273,1.8494821476849268,1.6582912447176388,7.86649218253205,8.281295097229382,35.067990599601295,0.8984328841134255,7.765899523062274,14.439290268163317,0.1792804006854787,9.601544415999635,0.15330754106345437,0.48403684075856884,0.05660626151782219,0.11553966866402987,1.7799303417789898,1.3472763613647756,0.5492275918749961,0.14785071063892763,0.28865430900800776,1.0756694795606645,1.2108232148664648,2.8562971205501726,0.041890928592441,3.642565832528822,0.8666681950746389,0.7911918115098232,0.3550259096031991,0.08447058431526695,0.07711421164813093,0.6326694526893609,0.31013319867761546,4.163240820234838,25.133377657164537
ATG,24hr,1,45,38.266666666666666,54.833333333333336,0.9768728489763808,42.1,0.6105998727052194,6.941498835834777,0.7151259682410476,1.054393988537493,8.042742215811986,7.450635746956297,2.8980717469615804,1.4994129182171643,1.2347210186780873,5.494716018093829,6.1996297325748015,21.609951886577825,0.9183157342155173,8.353951504954194,17.569729716158147,0.2058360387282907,11.369499427915871,0.12871884640420236,0.7461814219422277,0.07433267408931173,0.15716564240442085,1.115499503403197,1.3083394184905486,0.32352607334524547,0.08695129270738519,0.1940802629719512,0.9031191669075322,0.9099129411996669,4.295822794013396,0.054046636717742506,1.2340589477918755,0.36866156666659794,0.2604957092832286,0.12027864988224908,0.03593192657569181,0.02538944534924256,0.4547698542700765,0.12852018202370263,3.8472620173595855,10.69118543333134
ATG,24hr,1,46,46.4,62.4,0.9214144012029936,50.06666666666667,0.3902015835367543,7.684515020752755,0.7453125,1.0862166265551623,8.075818078615672,7.590217650061175,3.4430176165222655,1.6539663842619163,1.4142135623730951,6.524028229210166,7.383624599664846,23.167549288623086,0.9269368631342232,1.9930915164897591,3.25470481737989,0.027553444209285807,1.9640446187314116,0.09415923286774053,0.16570779705137426,0.0463881073078451,0.03214785689635968,0.2503790192656482,0.2390989364543561,0.2172628131628879,0.034146066724411166,0,0.3168633956763072,0.2216392885886087,0.44382240837383824,0.024500658899276544,0.3364280237922219,0.1295187881840759,0.08848210403110554,0.032790255730236056,0.012623663565699406,0.008623986747671106,0.1731547387918451,0.20119214017742973,0.23011168785808508,3.7560448573382006
ATG,24hr,1,47,39.733333333333334,52.8,0.9023622455804409,41.766666666666666,0.6545572805142554,7.11153435252119,0.7556673595364072,1.1105525510549068,8.254467389864404,7.691438360337539,3.0207074998472407,1.563702201078754,1.4142135623730951,5.229417465465578,6.154811912810702,21.22139007826141,0.952591509397878,1.436790804568276,4.097097374550882,0.04180178534806933,2.329471352390751,0.08499937499269945,0.12917669156207998,0.04655841813657846,0.05256837143125778,0.4104252400206637,0.4256143014289753,0.09464744217520274,0.021993722359773878,0,0.36178623696717394,0.2727168887828687,0.7515922762442554,0.029288042121860203,0.3973211189385433,0.14349378720388692,0.0832958690613299,0.03872525525716797,0.013985749240144923,0.008118505756464903,0.24951312951345642,0.17140418453791037,0.4713794080125054,4.1613198289127205
ATG,24hr,1,48,63.13333333333333,98.73333333333333,1.1787813696831755,71.36666666666666,0.7651557298033845,8.901185398895592,0.6555045515651576,0.8778716915644499,11.972873871029254,10.961064936201538,3.4557056506175257,1.662295531973324,1.3980375165651429,6.745396867985693,7.225455062375488,30.342338845544614,0.8911888168907071,14.616319017084821,29.63098719750745,0.22981224262872038,18.404428502557398,0.10784153625156759,1.0920188921416836,0.09189520285549718,0.15983090409169684,2.4083526550654586,1.9796522154608693,0.5796239473142104,0.16206354059342426,0.21693261851449047,0.9781073100382837,0.9717980098665209,5.475889214687421,0.06344739850606877,2.084148139981397,0.805528284139352,0.4468392531945429,0.20313334697674434,0.07851152866855282,0.04355158413202172,0.7093239988556916,0.14791751231101843,14.456128946573717,23.360320240041208
ATG,24hr,1,57,55.5,78.73333333333333,1.0064139071201144,59.46666666666667,0.7349933447132173,8.254512889064863,0.7174538796741178,1.0043239608404748,10.363297865900055,9.661693474601725,3.3665576578072294,1.6702531072079327,1.483536555146996,6.0698400115204825,6.734532359867121,26.142710421821054,0.9381546319897978,21.258264113126646,32.255374674653815,0.10506951173919038,23.3514871908191,0.12038151245470645,1.6170892423277001,0.07637504078696836,0.10683838190718041,2.0653910002289946,2.169938630032826,0.6945275273158619,0.22126212520647107,0.36208237827321876,1.7346246420085158,1.6197781552237764,5.997858307659819,0.02818672416518879,2.244734327163546,0.7908183783958872,0.5206639889815796,0.21878502214069648,0.07707781465846854,0.050746977483584754,0.7259617438968232,0.13230402443828942,11.577218207776284,22.933732973480733
