ImageNumber,Drug,Time,ID,Pathology,ScanFreq,Run,Label,Stain,Center_X,Center_Y,Lifetime
8,ATG,24hr,3241,Thrombosis,10.26,1,8,mLy6G,92.75,482.25,8
1,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,300.35555555555555,483,1
2,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,299.6470588235294,482.843137254902,2
3,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,300.37254901960785,482.4117647058824,3
4,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,300.23636363636365,482.43636363636364,4
5,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,301.4347826086956,482.7826086956522,5
6,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,301.5609756097561,482.8536585365854,6
7,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,300.94871794871796,483,7
8,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,300.84615384615387,482.8974358974359,8
9,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,301.60526315789474,482.7894736842105,9
10,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,301.8292682926829,482.780487804878,10
11,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,301.6666666666667,482.8333333333333,11
12,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,302.05128205128204,482.8205128205128,12
13,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,302.4102564102564,482.9230769230769,13
14,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,302.69444444444446,483.0833333333333,14
15,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,302.2,483.0857142857143,15
16,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,302.19354838709677,482.64516129032256,16
17,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,301.8235294117647,482.55882352941177,17
18,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,302.1111111111111,482.44444444444446,18
19,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,302.825,482.45,19
20,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,302.39130434782606,483.30434782608694,20
21,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,302.92452830188677,483.3018867924528,21
22,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,303.3333333333333,483.92857142857144,22
23,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,303.84090909090907,483.75,23
24,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,304.20454545454544,483.75,24
25,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,304.14285714285717,484.1020408163265,25
26,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,304.7142857142857,484.265306122449,26
27,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,304.462962962963,484.55555555555554,27
28,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,304.4,484.3454545454546,28
29,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,303.8727272727273,484.21818181818185,29
30,ATG,24hr,3241,Thrombosis,10.26,1,9,mLy6G,303.7450980392157,484.27450980392155,30
1,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,292.9574468085106,471.59574468085106,1
2,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,293.3636363636364,471.8409090909091,2
3,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,294.1463414634146,471.8780487804878,3
4,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,293.65,471.675,4
5,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,291.3333333333333,471.5625,5
6,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,292.72340425531917,471.48936170212767,6
7,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,293.81081081081084,471.56756756756755,7
8,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,294.56756756756755,471.43243243243245,8
9,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,294.7027027027027,471.4594594594595,9
10,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,294.8974358974359,471.35897435897436,10
11,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,294.77777777777777,471.5,11
12,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,294.5777777777778,471.6666666666667,12
13,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,294.925,472.4,13
14,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,295.25581395348837,472.1162790697674,14
15,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,295.30555555555554,472.05555555555554,15
16,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,294.3783783783784,471.72972972972974,16
17,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,285.87719298245617,473.7368421052632,17
18,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,284.8,475.43333333333334,18
19,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,285.1875,478.25,19
20,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,285.22727272727275,478.4318181818182,20
21,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,285.5,478.675,21
22,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,285.5681818181818,479.22727272727275,22
23,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,286,480.40816326530614,23
24,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,286.6170212765957,481.48936170212767,24
25,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,287.29545454545456,483.54545454545456,25
26,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,287.4222222222222,483.97777777777776,26
27,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,287.8863636363636,484.84090909090907,27
28,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,287.69767441860466,484.74418604651163,28
29,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,287.5217391304348,484.82608695652175,29
30,ATG,24hr,3241,Thrombosis,10.26,1,12,mLy6G,287.45098039215685,485.01960784313724,30
1,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,404.7027027027027,468.86486486486484,1
2,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,404.6111111111111,468.8611111111111,2
3,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,404.7073170731707,467.7073170731707,3
4,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,404.9268292682927,467.4634146341463,4
5,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,404.8974358974359,467.64102564102564,5
6,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,404.8974358974359,467.64102564102564,6
7,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,405.725,466.65,7
8,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,406.80434782608694,465.4130434782609,8
9,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,408.0196078431373,464.03921568627453,9
10,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,409.0701754385965,463.0701754385965,10
11,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,409.9672131147541,462.327868852459,11
12,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,409.96666666666664,462.18333333333334,12
13,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,410.2741935483871,462.241935483871,13
14,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,411.3833333333333,462.06666666666666,14
15,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,412.375,462.515625,15
16,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,413.453125,462.859375,16
17,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,413.8412698412698,462.85714285714283,17
18,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,413.5,462.37931034482756,18
19,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,414,462.5263157894737,19
20,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,414.3157894736842,462.57894736842104,20
21,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,413.8181818181818,462.4909090909091,21
22,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,413.79591836734693,462.42857142857144,22
23,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,414.6,462.84000000000003,23
24,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,415.0833333333333,462.8333333333333,24
25,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,414.8695652173913,462.82608695652175,25
26,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,414.95454545454544,462.79545454545456,26
27,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,415.6666666666667,463.05128205128204,27
28,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,416.0882352941176,463.3529411764706,28
29,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,416,463.5,29
30,ATG,24hr,3241,Thrombosis,10.26,1,13,mLy6G,416.6111111111111,463.9166666666667,30
1,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.6851851851852,436.8703703703704,1
2,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.80701754385964,437.0526315789474,2
3,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.8181818181818,436.78181818181815,3
4,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.54545454545453,436.8181818181818,4
5,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.6346153846154,436.8461538461538,5
6,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.8928571428571,436.5892857142857,6
7,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.75925925925927,436.6296296296296,7
8,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.5471698113207,436.566037735849,8
9,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.6727272727273,436.56363636363636,9
10,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.5,436.5,10
11,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.5,436.5,11
12,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.38888888888889,436.6111111111111,12
13,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.35849056603777,436.6792452830189,13
14,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.35849056603777,436.6792452830189,14
15,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.27272727272728,436.76363636363635,15
16,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.0178571428571,436.94642857142856,16
17,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.1296296296296,437.2962962962963,17
18,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.07142857142856,437.2678571428571,18
19,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,223.0727272727273,437.3454545454546,19
20,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.9322033898305,437.47457627118644,20
21,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.96491228070175,437.3859649122807,21
22,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.8421052631579,437.36842105263156,22
23,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.72727272727272,437.41818181818184,23
24,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.64814814814815,437.44444444444446,24
25,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.53571428571428,437.55357142857144,25
26,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.45454545454547,437.56363636363636,26
27,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.5090909090909,437.6181818181818,27
28,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.41071428571428,437.5,28
29,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.3965517241379,437.3965517241379,29
30,ATG,24hr,3241,Thrombosis,10.26,1,18,mLy6G,222.5,437.375,30
1,ATG,24hr,3241,Thrombosis,10.26,1,19,mLy6G,142.66666666666666,435.4375,1
2,ATG,24hr,3241,Thrombosis,10.26,1,19,mLy6G,144.67796610169492,435.59322033898303,2
3,ATG,24hr,3241,Thrombosis,10.26,1,19,mLy6G,147.47826086956522,434.7391304347826,3
4,ATG,24hr,3241,Thrombosis,10.26,1,19,mLy6G,149.36,434.15999999999997,4
1,ATG,24hr,3241,Thrombosis,10.26,1,20,mLy6G,139.5909090909091,426,1
2,ATG,24hr,3241,Thrombosis,10.26,1,20,mLy6G,139.54545454545453,426.72727272727275,2
3,ATG,24hr,3241,Thrombosis,10.26,1,20,mLy6G,139.56,427.36,3
1,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,118.42696629213484,409.8988764044944,1
2,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,118.23170731707316,410.4024390243902,2
3,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,118.74698795180724,410.34939759036143,3
4,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,118.54761904761904,410.4404761904762,4
5,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,117.86585365853658,410.4756097560976,5
6,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,117.18666666666668,410.74666666666667,6
7,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,116.78651685393258,410.64044943820227,7
8,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,116.63529411764706,410.4823529411765,8
9,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,116.94871794871794,410.64102564102564,9
10,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,117.10714285714286,410.6428571428571,10
11,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,117.4390243902439,410.6463414634146,11
12,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,118.6951219512195,410.2682926829268,12
13,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,119.3012048192771,410.144578313253,13
14,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,119.8048780487805,409.6219512195122,14
15,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,120.02597402597402,409.3376623376623,15
16,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,120.66216216216216,409.1081081081081,16
17,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,121.61194029850746,408.13432835820896,17
18,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,121.32,407.85333333333335,18
19,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,121.27027027027027,408.1081081081081,19
20,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,121.88571428571429,407.15714285714284,20
21,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,121.39506172839506,406.91358024691357,21
22,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,121.27058823529411,407.01176470588234,22
23,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,121.34117647058824,407.01176470588234,23
24,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,121.6046511627907,406.6395348837209,24
25,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,122.79047619047618,405.73333333333335,25
26,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,122.70212765957449,405.36170212765956,26
27,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,123.92380952380952,403.9809523809524,27
28,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,124.19090909090907,403.3272727272727,28
29,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,123.91304347826087,404.03260869565213,29
30,ATG,24hr,3241,Thrombosis,10.26,1,22,mLy6G,125.3157894736842,402.7263157894737,30
1,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.5357142857143,400.20238095238096,1
2,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.3544303797468,400.5822784810127,2
3,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.5064935064935,400.2857142857143,3
4,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.77272727272725,400.4886363636364,4
5,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.8636363636364,400.1818181818182,5
6,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.07954545454544,399.5340909090909,6
7,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.3975903614458,399.2289156626506,7
8,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.97777777777776,399.14444444444445,8
9,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.4457831325301,399.26506024096386,9
10,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.5113636363636,399.17045454545456,10
11,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.3764705882353,399.82352941176475,11
12,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.64367816091954,400.11494252873564,12
13,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.46938775510205,399.8265306122449,13
14,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.9791666666667,399.75,14
15,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.9684210526316,400.2947368421053,15
16,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.2244897959184,400.2448979591837,16
