ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_FrameNumber,Metadata_Run,Metadata_Run,Metadata_Series,Metadata_Stain,Metadata_Time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,TrackObjects_Displacement_10,TrackObjects_DistanceTraveled_10,TrackObjects_FinalAge_10,TrackObjects_IntegratedDistance_10,TrackObjects_Label_10,TrackObjects_Lifetime_10,TrackObjects_Linearity_10,TrackObjects_ParentImageNumber_10,TrackObjects_ParentObjectNumber_10,TrackObjects_TrajectoryX_10,TrackObjects_TrajectoryY_10
31,1,file:/Users/shuntaro/Documents/CellProfiler/221221_tracking_9292_rIgG24hr/CP_input/Sequence3/rIgG24hr_mLy6G_0000.tif,0,0000,Sequence3,Sequence3,0,mLy6G,rIgG24hr,90,121,109,159,98,148,103.04444444444445,153.13333333333333,90.0,2.842170943040401e-14,657.8222222222222,30.28246913580284,-1.9539925233402755e-14,-5.5333333333333306,-12.241481481481713,190.93165432098763,632.3999999999999,-31.702222222222176,2944.266567901235,-120.00541893003918,0.9611703077392959,96,0.20512259418187465,10.704744696916627,1,0.743801652892562,1.0403983476685135,0.15928669410150892,1.1717123819953781e-05,2.9549916530098745e-06,9.652183367103315e-09,3.994512857468679e-16,-3.3022567090568814e-11,1.580408788482541e-15,7.321937515149479,7.0138649539863245,7.309135802469137,0.06148148148148145,0.06148148148148145,7.026666666666666,10.823631564423822,10.44030650891055,5.0990195135927845,2.125824699006484,2.0,9.803060746521975,10.593480979535537,nan,nan,0.08121262002743485,0.00039408055820118427,nan,-0.0006831275720164605,-0.00015930437619857834,0.0002619089908381175,0.07807407407407406,-0.000412556498399287,0.00403877444156548,-1.7352101297741675e-05,6.281177025957675e-05,-0.00045746319158664826,-4.6751046854873504e-05,-3.037044201345788e-06,-78.23790013435459,32.97056274847714,0.9375,90.0,454.0,2948.0,21538.0,462.0,2325.0,15065.0,110145.0,3004.0,15065.0,95701.0,686465.0,1.0145760651313884,0.01863559712398112,0.017061517890664474,0.015010355139592426,0.019896339761375434,0.025511101512908686,0.020959817854107856,0.012794163468381201,0.01397043960277255,0.022680895508606868,0.02168203533973165,0.011714146964939933,0.023854862290021508,0.008974917035938905,0.016484179176823828,0.01987621292641153,0.02714612437844518,0.015354749169001994,0.012810655030940274,0.006171370343005913,0.021972548363023262,0.003226975067886069,0.017676621874151397,0.019134172019393887,0.030642628732404625,0.031342414050508374,0.007211157856183367,0.01759900607350188,0.018654126242213662,0.026280854032595176,103.04444444444445,153.13333333333333,0,1,0.0,0.0,nan,0.0,1.0,1,nan,0.0,0,0.0,0.0
31,2,file:/Users/shuntaro/Documents/CellProfiler/221221_tracking_9292_rIgG24hr/CP_input/Sequence3/rIgG24hr_mLy6G_0000.tif,0,0000,Sequence3,Sequence3,0,mLy6G,rIgG24hr,34,42,372,187,366,180,368.5,183.2941176470588,34.0,0.0,80.5,0.0,5.329070518200751e-15,0.0,14.823529411764717,-4.440892098500626e-16,103.05882352941177,-6.217248937900877e-15,158.81660899653983,-1.84297022087776e-14,0.7997667602429288,34,0.4678596948487089,6.579524642479541,1,0.8095238095238095,1.250364543402942,0.15878790962751882,0.00038081778761564635,9.665804244576357e-05,1.0710032403962574e-06,1.0896955438923269e-11,2.090014974007556e-08,-2.6069177066280866e-26,3.031141868512111,2.3676470588235294,2.3676470588235294,-0.0,-0.0,3.031141868512111,6.964069923269997,6.324555320336759,2.8284271247461903,1.537386053771262,1.4142135623730951,5.0,6.154864169189802,nan,nan,0.06963667820069204,0.0,nan,0.0,0.00219914733644984,-1.129882988627271e-20,0.0891512314268268,-9.22361069488552e-19,0.004040723819370543,-8.041593357935905e-20,-0.0032340402006615213,-5.649414943136355e-21,0.00032931630809158384,6.604830705578533e-21,0.0,18.485281374238568,1.0,34.0,85.0,293.0,1135.0,112.0,280.0,980.0,3850.0,472.0,1180.0,4080.0,15850.0,1.0530035153755615,0.041862329328303,0.056584290651336536,0.06964220387857435,0.03684929363327209,0.05411641658281998,0.06527146785032667,0.08979645498023056,0.005731727122749983,0.02253278628800384,0.0719555976597303,0.06705998442242347,0.08235938018931256,0.106673057603563,0.0004920483688970272,0.029326188440922295,0.004369650849959288,0.09132610429338481,0.09933299765371083,0.03005836454656244,0.1107720972470326,0.10052101827027533,0.0022284531714571675,0.006953847809437541,0.021472157805587384,0.0338299828616784,0.09267635263650519,0.12033726429532358,0.07705563802196132,0.047895104935969525,368.5,183.2941176470588,0,2,0.0,0.0,nan,0.0,2.0,1,nan,0.0,0,0.0,0.0
31,3,file:/Users/shuntaro/Documents/CellProfiler/221221_tracking_9292_rIgG24hr/CP_input/Sequence3/rIgG24hr_mLy6G_0000.tif,0,0000,Sequence3,Sequence3,0,mLy6G,rIgG24hr,24,30,160,234,154,229,156.29166666666666,231.0,24.0,4.440892098500626e-15,48.95833333333333,-0.4340277777777537,0.0,0.0,0.0,0.0,42.0,3.750000000000006,62.23958333333333,7.541232638888925,0.8128078919015064,26,0.3769982222431136,5.527906391541368,1,0.8,1.230303014972666,0.15791377314814814,0.00014593702611936257,1.7144663004542544e-05,1.3809105865791959e-06,-6.719126462770269e-12,1.6682007230810574e-08,0.0,2.0399305555555554,1.75,2.0399305555555554,-0.0,-0.0,1.75,5.7130455003342036,5.0990195135927845,2.8284271247461903,1.387797324556886,1.0,4.0,5.291502622129181,nan,nan,0.08499710648148147,-0.00015381171726701164,nan,0.0,0.0,0.0,0.07291666666666667,0.0013289332371870563,0.0045022846739969135,0.00011135327447977034,0.0,0.0,0.0,0.0,90.0,15.65685424949238,0.9230769230769231,24.0,55.0,175.0,625.0,48.0,110.0,350.0,1250.0,138.0,320.0,1000.0,3500.0,1.1300942704749917,0.04708726126979367,0.14098316096161875,0.050430735442794264,0.04387238225729153,0.03744262423228295,0.15969540547028718,0.09593363838898757,0.03661829628035842,0.027417528140045413,0.0392180998210417,0.030076176014522067,0.17864860738028582,0.14333591000073614,0.04343143996821021,0.0986700169749583,0.009893986299992186,0.031697017134695554,0.06370410389652308,0.13238364194581695,0.18480088889896618,0.13500674867575402,0.026525966128942025,0.06590973892631381,0.029356801886494217,0.04686008194514151,0.02362449949307331,0.09783488974584573,0.2173359034878347,0.12747460695411006,156.29166666666666,231.0,0,3,0.0,0.0,nan,0.0,3.0,1,nan,0.0,0,0.0,0.0
31,4,file:/Users/shuntaro/Documents/CellProfiler/221221_tracking_9292_rIgG24hr/CP_input/Sequence3/rIgG24hr_mLy6G_0000.tif,0,0000,Sequence3,Sequence3,0,mLy6G,rIgG24hr,43,64,178,240,170,232,173.7906976744186,235.67441860465115,43.0,-3.9968028886505635e-15,181.11627906976744,-14.881557598702074,6.217248937900877e-15,47.06976744186047,53.28501892915092,371.2720137849497,137.44186046511626,40.37101135749054,505.3468751179141,470.93979731490657,1.0058759034481002,48,0.7010310560245601,7.399277020331919,1,0.671875,0.9941584211054686,0.1722867168928522,0.003150141487784054,0.0003226835454962475,1.7005610215921816e-05,8.195992056226203e-10,5.665529850967191e-07,9.566459483104523e-10,4.9108760203039115,2.497452806088734,4.212006489994592,-1.0946457544618715,-1.0946457544618715,3.196322336398053,8.864198572057294,8.48528137423857,3.1622776601683795,1.5695657181632041,1.4142135623730951,5.656854249492381,6.321332525458517,nan,nan,0.0979536393021998,-0.0012273749367898192,nan,0.025456878010741195,0.004394748083743263,0.004669677057176723,0.07433307759065239,0.0033296492779332897,0.006356004818668974,0.0009032870791659837,-0.0008470653456039566,0.00477826313183804,0.0009668628057705389,0.000806322691800581,57.44406608091532,23.31370849898476,0.8958333333333334,43.0,163.0,799.0,4387.0,158.0,646.0,3346.0,19126.0,718.0,3108.0,16588.0,96768.0,0.7250391851964123,0.06937152698820191,0.1571900672512546,0.074671745071988,0.028617457098595103,0.02243293009599743,0.0311105341434775,0.014176067759873207,0.013808710768947026,0.01825419500971199,0.020148057545794698,0.03973254186723616,0.02134679925634331,0.023199541766990135,0.024633721187291558,0.023244646156821744,0.015104190897082011,0.0007976082145224237,0.015677662606034197,0.018303015781563854,0.01791803700836687,0.016613476307059748,0.01275215201787551,0.028743433254969225,0.002767233833522343,0.01803314686115786,0.014976459952194734,0.010303164904099013,0.009675820379288064,0.013384379249641525,173.7906976744186,235.67441860465115,0,4,0.0,0.0,nan,0.0,4.0,1,nan,0.0,0,0.0,0.0
31,5,file:/Users/shuntaro/Documents/CellProfiler/221221_tracking_9292_rIgG24hr/CP_input/Sequence3/rIgG24hr_mLy6G_0000.tif,0,0000,Sequence3,Sequence3,0,mLy6G,rIgG24hr,33,42,195,244,189,237,191.42424242424244,239.93939393939394,33.0,1.3322676295501878e-15,74.06060606060606,1.2213039485766544,-1.7763568394002505e-15,13.84848484848485,-5.901744719926544,48.97328658485683,101.87878787878788,-0.5941230486685048,147.58285332665497,-22.718885153395583,0.8240021166139267,34,0.604015479648369,6.4820448144285745,1,0.7857142857142857,1.2135891156557967,0.1615605086679467,0.001299389563102668,2.0602668807545475e-05,5.575811748634964e-07,1.6493563449539507e-12,1.7503255148661647e-08,-9.225508568510257e-13,3.260524660666948,2.0709721253752926,2.244260789715335,-0.41965105601469244,-0.41965105601469244,3.087235996326905,7.222769176061988,6.708203932499369,2.8284271247461903,1.5054171721508034,1.4142135623730951,4.949747468305833,5.756349017042372,nan,nan,0.06800790271864653,0.00019522656435047028,nan,0.012716698667111892,-0.0009433993451733051,0.0013627538911110228,0.09355260594930016,-9.497111814643371e-05,0.004106710446800094,-0.00011004953873249876,0.0016833520601287446,0.002786357142706649,-3.791914613560363e-05,0.000247024701466294,22.437450121762733,18.485281374238568,0.9705882352941176,33.0,80.0,268.0,1010.0,97.0,249.0,849.0,3219.0,387.0,1019.0,3419.0,12689.0,0.9337089994724524,0.0270074310699341,0.04715702017537639,0.09914694179720261,0.01980544945128499,0.02460677053038439,0.014293816782047358,0.08953962363620835,0.047746512755578424,0.009936067233136277,0.013670428072435781,0.022419502038794666,0.022109074051605997,0.06766603334665508,0.054411858140239834,0.007888368972899545,6.372123654360803e-05,0.0024424498156085696,0.008469589659100217,0.02042665741312403,0.04905430644334111,0.041800594382806804,0.07353528284418555,0.05133920081974067,0.03628408593845303,0.007757452974602416,0.006445961254658968,0.003088909169789406,0.0040853314826248335,0.01861095453195745,191.42424242424244,239.93939393939394,0,5,0.0,0.0,nan,0.0,5.0,1,nan,0.0,0,0.0,0.0
31,6,file:/Users/shuntaro/Documents/CellProfiler/221221_tracking_9292_rIgG24hr/CP_input/Sequence3/rIgG24hr_mLy6G_0000.tif,0,0000,Sequence3,Sequence3,0,mLy6G,rIgG24hr,63,72,222,284,213,276,217.12698412698413,279.3492063492063,63.0,-2.5757174171303632e-14,360.984126984127,-75.64676240866751,-1.021405182655144e-14,46.20634920634921,-25.14764424288244,526.694033521698,284.3174603174603,57.649533887629,1288.9977204285594,258.30161066227276,0.9256788904699064,65,0.5601481946297628,8.95623198216277,1,0.875,1.0802882190522523,0.16258543393841957,0.0009152491779605202,7.294052013213164e-05,3.317602774321344e-07,1.1648490668175355e-12,4.246707662809772e-09,-1.1430490364404187e-12,6.0744133600665045,4.168468978053927,5.729906777525824,-0.7334341143864954,-0.7334341143864954,4.512975560594607,9.85853000000832,9.433981132056603,4.0,1.8688581141982186,2.0,7.0,8.166731515659299,nan,nan,0.09095090123056865,-0.002401258813189404,nan,0.011641811339468181,-0.0007982628792881992,0.002106380134621483,0.07163453270785092,0.0018299719236638348,0.005155021737627564,0.00013014730850786788,0.0008716901718185266,0.0016878848636346707,-0.0001066458850143992,0.0002722002194006757,64.83975078667729,27.071067811865476,0.9692307692307692,63.0,260.0,1434.0,8822.0,211.0,917.0,5159.0,32123.0,991.0,4457.0,25079.0,155363.0,0.8726698003241005,0.03766757751654802,0.09692759064200258,0.04863058165924431,0.015048983949919497,0.028006772718280823,0.05363915468494296,0.013063189679208805,0.026845322972757185,0.0020839879229152284,0.003697295210633167,0.020318100446130933,0.01767217311947481,0.016587018071195368,0.0329195131609807,0.025186646976405675,0.003890650770576123,0.0036389368747039327,0.0009222737236100079,0.014853875199682003,0.0026182627002076706,0.03067352510819905,0.022474855832173308,0.002589117227126311,0.013337828296351929,0.003878243214988264,0.0024408789270313888,0.0017477142558228033,0.002900575724807004,0.011363285050832424,217.12698412698413,279.3492063492063,0,6,0.0,0.0,nan,0.0,6.0,1,nan,0.0,0,0.0,0.0
31,7,file:/Users/shuntaro/Documents/CellProfiler/221221_tracking_9292_rIgG24hr/CP_input/Sequence3/rIgG24hr_mLy6G_0000.tif,0,0000,Sequence3,Sequence3,0,mLy6G,rIgG24hr,69,81,138,365,129,356,133.0,359.82608695652175,69.0,0.0,376.0,0.0,-3.552713678800501e-15,41.0,-77.60869565217395,508.99999999999994,385.9130434782609,-26.739130434782638,1528.6332703213614,-331.9565217391304,0.8977051732078077,70,0.4422774357528028,9.373021315815206,1,0.8518518518518519,1.1139514729837836,0.16003214523803,0.00030097639797316516,6.497865829888598e-05,4.5944755427505867e-07,-1.0432879173634142e-13,1.7179205821643374e-10,-2.508210121267796e-12,6.119638172647825,4.922579848776246,5.449275362318841,-0.5942028985507246,-0.5942028985507246,5.59294265910523,9.89516097708194,9.433981132056603,4.242640687119285,1.960979746504484,2.0,8.0,8.87475507157352,nan,nan,0.0789750052509977,0.0,nan,0.008611636210880068,-0.001962400553026841,0.0015494248254994535,0.08105713998703232,-0.0006761211989420212,0.004653246243851344,-0.00012164923657175268,0.0019143622493904458,0.0012034036281967134,-0.0002097743523041202,0.00019753810101455689,41.55345940606129,27.89949493661166,0.9857142857142858,69.0,276.0,1480.0,8928.0,264.0,1097.0,5913.0,35705.0,1396.0,5871.0,31071.0,183951.0,0.9528679025139694,0.06430403420129525,0.038202698300269976,0.025674682552317682,0.05573308503145378,0.01910069926873358,0.024409994341436182,0.01683680213117086,0.006950116383603873,0.0447841580298189,0.004208948027804797,0.015373294285293292,0.010828451836723627,0.012317375472637004,0.018509431579215776,0.00991769017625288,0.03154359996188629,0.017277563134677446,0.012860761887866239,0.00640184265390663,0.0003928202785958285,0.015842484166152776,0.02542135467331629,0.0007235607590925277,0.040011444128200575,0.016251812523804976,0.030176372090801457,0.01698757027253634,0.019862473622679983,0.01781394726736932,133.0,359.82608695652175,0,7,0.0,0.0,nan,0.0,7.0,1,nan,0.0,0,0.0,0.0
32,1,file:/Users/shuntaro/Documents/CellProfiler/221221_tracking_9292_rIgG24hr/CP_input/Sequence3/rIgG24hr_mLy6G_0001.tif,0,0001,Sequence3,Sequence3,0,mLy6G,rIgG24hr,84,110,109,159,99,148,103.42857142857143,153.22619047619048,84.0,-3.375077994860476e-14,554.5714285714286,60.367346938775086,-3.552713678800501e-15,-40.14285714285714,-48.52040816326533,-279.92565597667635,572.702380952381,-59.12585034013607,2597.841958211856,-393.630414410664,0.9433749850094594,88,0.36890726771192894,10.341765891652821,1,0.7636363636363637,1.0600238673807667,0.15976102742684375,0.0001360698344369057,2.2604760794646773e-05,5.571161490827366e-10,-5.188168517642584e-17,-6.461637482029011e-12,3.4886016085326464e-17,7.199888848280163,6.220037455574715,6.602040816326531,0.477891156462585,0.477891156462585,6.817885487528346,10.733043444078787,10.770329614269007,5.0,2.106689772496659,2.0,9.0,9.976001167261131,nan,nan,0.07859572400388727,0.0009334775430926653,nan,-0.005689180434078392,-0.0007502849420902057,-0.00047228575473875047,0.08116530342295648,-0.0009142799262778859,0.0043830342940352285,-7.246213840754783e-05,0.0007640169360355742,-0.00140687486840302,-4.823372765982353e-05,-9.834850584173806e-05,-38.63717025400625,31.556349186104043,0.9545454545454546,84.0,372.0,2202.0,14724.0,439.0,1904.0,11104.0,73664.0,2867.0,12218.0,69226.0,448190.0,0.8780962377483882,0.06563606080225744,0.09765035747374312,0.009462243941254186,0.041425300179285134,0.023331781480747306,0.05940984058012274,0.004241695559872559,0.004397382438593258,0.011216319541803481,0.010859710193040377,0.00929732852795515,0.023500568567153584,0.0008888433666576576,0.008660921448315302,0.0070319886602661875,0.014448065599039255,0.002079943544331744,0.0034016183366809005,0.01529404086243811,0.0050355634327908395,0.004079523352424763,0.010794781219980848,0.0007274471027861623,0.015147759385094755,0.027401570755820306,0.009048338440683168,0.0030463029004882724,0.002506921323128766,0.012829811598181532,103.42857142857143,153.22619047619048,0,1,0.39519107899101513,0.39519107899101513,nan,0.39519107899101513,1.0,2,1.0,31.0,1,0.3841269841269792,0.09285714285715585
32,2,file:/Users/shuntaro/Documents/CellProfiler/221221_tracking_9292_rIgG24hr/CP_input/Sequence3/rIgG24hr_mLy6G_0001.tif,0,0001,Sequence3,Sequence3,0,mLy6G,rIgG24hr,35,42,372,187,366,180,368.42857142857144,182.77142857142857,35.0,5.329070518200751e-15,86.57142857142857,2.938775510204124,2.6645352591003757e-15,-5.571428571428572,-6.967346938775507,-36.229154518950445,108.17142857142858,-4.689795918367322,190.9246647230321,-36.57840899625143,0.8269364063505841,36,0.4710767945988372,6.6755811781245455,1,0.8333333333333334,1.209282832779338,0.1589737609329446,0.00039365148875043586,2.6868274135494267e-05,6.608701886797902e-07,2.5249247896327088e-12,1.300604181680814e-08,1.1746786985254638e-12,3.1292522338084745,2.4348293988445855,2.4734693877551015,0.15918367346938778,0.15918367346938778,3.090612244897959,7.075877029805959,6.4031242374328485,3.0,1.5436710040315322,1.4142135623730951,5.0,6.24157595335612,nan,nan,0.07067055393586005,0.0004055050818189359,nan,-0.0045481049562682225,-0.0009613849648123796,-0.00084499485758485,0.08830320699708455,-0.0006471185264027058,0.004453053404618825,-0.00014420710434697026,0.0017375892755941195,-0.0006244010573825532,-0.0001641141330263995,-0.00012091468248674773,-13.64399397275775,19.071067811865476,0.9722222222222222,35.0,85.0,293.0,1135.0,97.0,230.0,778.0,2960.0,377.0,880.0,2868.0,10510.0,0.9695756902294449,0.0404522137129402,0.02741911477312786,0.024997757174168987,0.030997774858174745,0.048479879158313796,0.02038523568087741,0.0336696976704435,0.012769407470813666,0.010770434387273648,0.050755298996864644,0.043215354563879725,0.00730890577238175,0.04131181765499417,0.014547308228352011,0.04821868064418728,0.019668245796553456,0.057896571774876227,0.05989131750798755,0.011460596114957077,0.012823122827573979,0.036001979874512764,0.012357811483458233,0.02758033177168895,0.04877588133123297,0.0442329020613848,0.05419158179356592,0.06329083600541671,0.025359149629085177,0.04292733536456232,368.42857142857144,182.77142857142857,0,2,0.5275470695582704,0.5275470695582704,nan,0.5275470695582704,2.0,2,1.0,31.0,2,-0.07142857142855519,-0.5226890756302396
32,3,file:/Users/shuntaro/Documents/CellProfiler/221221_tracking_9292_rIgG24hr/CP_input/Sequence3/rIgG24hr_mLy6G_0001.tif,0,0001,Sequence3,Sequence3,0,mLy6G,rIgG24hr,31,40,417,228,409,223,413.0,225.03225806451613,31.0,0.0,136.0,-84.0,8.881784197001252e-16,-12.0,-4.3870967741935445,-117.29032258064517,46.96774193548387,28.77419354838709,152.14151925078042,119.65452653485949,0.991873933505663,33,0.8186492295473484,6.282549314314218,1,0.775,1.0081926404352783,0.19039307173307374,0.009206875616327723,0.0010165243601695214,0.00010872933593870403,3.367985569841515e-08,8.901546186417556e-06,1.3126823031815706e-08,4.438355825561796,1.4638293981634893,4.387096774193548,0.3870967741935484,0.3870967741935484,1.5150884495317378,8.426962276466458,7.615773105863909,2.8284271247461903,1.378108043604463,1.0,4.0,4.83955270356836,nan,nan,0.14151925078043703,-0.0156991106870438,nan,-0.012486992715920915,-0.0008199228315813958,-0.003937105923958416,0.048873820952636704,0.005377729160077982,0.0051069624803054756,0.0007213785162352451,-0.0006627839207849616,-0.0013006323519688028,-0.00037809440689256596,-0.0003239888425010156,-82.45682299576744,19.65685424949238,0.9393939393939394,31.0,124.0,632.0,3532.0,63.0,240.0,1184.0,6432.0,175.0,680.0,3336.0,17888.0,0.6805245842550006,0.13051038139251292,0.07645493104533388,0.13371138395595808,0.03501035549356381,0.0415626230782248,0.060949902352630224,0.033822153788098795,0.046404545406059,0.015081775318282262,0.04351542078157877,0.022171507140383788,0.06925237446812414,0.05414057262461704,0.0075410413864628505,0.04838903069882965,0.024924527421383093,0.006817424682261635,0.019031681091360837,0.009711034809581584,0.06482763381860077,0.03831744759740758,0.013070486480886502,0.03986301074686658,0.04174941137282756,0.011604082281592716,0.014707030547262788,0.026820466911729776,0.025247954064165173,0.011500164664368899,413.0,225.03225806451613,0,3,0.0,0.0,nan,0.0,8.0,1,nan,0.0,0,0.0,0.0
